,0
0,24316.265560454205
1,24316.26556091161
2,24170.655317447035
3,24216.211025565804
4,24492.37878563886
5,24170.6553176908
6,24438.170845492816
7,24169.91769687282
8,24350.054751934997
9,24407.538693478084
10,24271.923249491312
11,24170.655318636254
12,24277.29787034641
13,24316.26556065571
14,25404.536508660138
15,24412.32029505663
16,24170.655317259105
17,24333.90007246781
18,24169.9176968774
19,24169.917697116707
20,24389.819026689864
21,24169.917696864402
22,24283.139366344407
23,24174.076239237562
24,24511.43036625831
25,25404.536513586456
26,24220.9694727653
27,24314.149236875706
28,24282.05641316651
29,24387.740440918933
30,24169.91769687242
31,24409.581231117547
32,24216.21102599488
33,24378.592155552084
34,24169.917696872457
35,24316.26556087074
36,24170.655317424927
37,24169.91769686029
38,24169.917696876404
39,25404.53650952903
40,24169.917696861638
41,24494.97237040484
42,24332.675598413614
43,24169.917700998627
44,24170.65531742244
45,24169.917696864955
46,24316.265560973945
47,24169.91769686029
48,24271.9232493712
49,24501.79251028668
