,0,1,2,3,4,5,6,7,8,9,10,11,12
0,628.31853072,299.19930034,344.35046814,109.86655006,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912543,77.399912543,92.399912543,92.399912543
1,628.31853071,299.19930033,344.35046824,159.73310011,159.73310011,109.86655005,159.73310011,159.73310011,159.73310011,77.399912531,77.399912531,92.399912526,92.399912533
2,628.31853071,299.19930031,299.19930034,159.73310011,159.73310009,159.73310011,159.73310011,159.73310011,159.73310011,77.399912374,77.399912393,90.041337582,90.043105639
3,628.31853072,306.95055559,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,109.86655006,159.73310011,114.79982509,77.399912543,92.399912543,92.399912543
4,448.79895052,360.0,299.19930035,159.73310012,159.73310012,159.73310012,159.73310012,159.73310012,159.73310012,114.79982509,114.79982509,120.0,104.00349344
5,628.31853071,299.19930031,299.19930032,159.7331001,159.73310009,159.73310009,159.7331001,159.73310009,159.73310009,77.399912397,77.399912363,90.042184769,90.042258556
6,661.00306071,299.19930039,224.39947533,159.73310015,159.73310011,159.73310012,159.73310012,159.73310014,159.73310011,114.79982512,77.399912569,92.399912562,92.39991257
7,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912541,77.399912543,92.399912542,87.684530295
8,538.55874062,360.0,360.0,159.73310014,159.73310011,159.73310017,159.73310019,159.73310015,159.73310012,40.842912891,77.399912911,92.399912744,92.39991276
9,628.31853072,360.0,360.0,159.73310012,109.86655006,159.73310012,159.73310012,109.86655006,159.73310012,50.816223832,77.399912548,92.399912551,92.399912551
10,538.55874062,299.19930034,309.4438831,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,114.79982509,114.79982509,92.399912543,92.399912543
11,628.31853068,299.19930017,299.1993001,159.73310002,159.73310003,159.73310003,159.73310001,159.73310003,159.73310002,77.399911693,77.399912348,90.040776948,90.04366792
12,628.31853068,356.81710641,299.19930026,159.73310007,159.7331001,109.86655006,159.73310006,159.73310006,109.86655004,114.79982495,77.399912426,92.399912431,92.39991245
13,628.31853072,344.35046816,299.19930034,159.73310011,109.86655006,159.73310011,159.73310011,159.73310012,159.73310011,77.399912541,77.399912542,92.399912542,92.399912541
14,269.27937031,360.0,360.0,180.0,180.0,180.0,159.73310011,180.0,180.0,116.18768586,114.79982512,120.0,120.0
15,538.55874062,360.0,224.39947526,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,114.79982508,114.79982508,116.64361714,92.399912542
16,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912536,77.399912539,90.043353261,90.041089585
17,628.31853554,233.68311665,360.0,159.73310697,159.73310697,159.73310697,159.73310704,159.73310701,159.73310704,40.000020806,114.79983531,92.399923327,92.399923338
18,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912543,87.684530299,92.39991254
19,628.31853071,299.19930034,299.19930034,159.7331001,159.7331001,159.7331001,159.7331001,159.7331001,159.7331001,77.399912464,77.399912469,92.399912485,87.684530568
20,661.00306089,299.19930036,299.19930034,159.73310012,159.73310012,159.73310012,159.73310012,159.73310012,159.73310012,40.000000043,77.399912545,92.399912552,92.39991255
21,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912541,77.399912541,87.684530293,92.399912542
22,628.31853091,360.0,308.48303435,159.73310047,159.73310047,159.73310052,159.73310047,159.73310049,159.73310053,77.399913204,40.000000972,92.399913205,55.000000847
23,628.31852975,299.19929775,299.19929781,159.7330984,159.73309842,159.73309844,159.7330984,159.73309844,159.73309838,110.08446868,77.399908198,55.0,92.399907653
24,448.79895052,360.0,360.0,159.73310013,159.73310013,109.86655008,159.73310013,159.73310013,159.73310013,114.79982519,114.79982518,120.0,93.069339996
25,269.27937049,360.0,360.0,159.73310057,180.0,180.0,180.0,180.0,180.0,114.79985239,116.18765813,120.0,120.0
26,628.31853072,299.19930034,306.95055559,109.86655006,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,114.79982509,114.79982509,55.000000001,92.399912544
27,628.31853079,331.8838297,299.19930046,159.73310019,159.73310019,159.73310019,159.73310018,159.73310019,159.73310019,77.399912628,114.7998252,55.000000098,55.0
28,628.31852889,299.19929619,356.81714993,109.86654739,159.73309708,159.73309709,159.73309709,109.86654741,159.73309709,114.79981794,114.79981793,55.0,92.39990605
29,628.31853251,158.8833577,360.0,159.73310267,159.73310266,159.73310267,159.73310266,159.73310271,159.73310266,114.79982871,114.79982868,92.399916495,92.399916505
30,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912543,77.399912543,87.684530291,92.399912541
31,538.55874062,304.11025582,299.19930036,159.73310012,109.86655006,159.73310012,159.73310012,159.73310012,159.73310012,114.79982509,114.79982509,120.0,120.0
32,628.31853073,306.95055538,299.1993004,159.73310013,159.73310013,159.73310012,109.86655007,159.73310013,159.73310013,114.7998251,77.39991257,92.39991256,92.399912561
33,628.31853072,320.94967737,360.0,159.73310012,159.73310012,159.73310012,109.86655006,159.73310012,159.73310012,77.399912549,40.000000006,92.399912549,92.39991255
34,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.39991254,77.39991254,92.39991254,87.684530301
35,628.31853071,299.19930034,344.35046823,159.73310011,159.73310011,159.73310011,159.7331001,159.73310011,109.86655005,77.399912537,77.399912535,92.399912535,92.399912529
36,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912542,90.042215099,90.042227735
37,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912542,92.399912542,87.684530289
38,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912541,77.399912539,87.684530305,92.399912538
39,269.27937047,360.0,360.0,180.0,180.0,180.0,180.0,180.0,159.7331002,114.79982512,116.18768565,120.0,120.0
40,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912542,92.399912542,87.68453029
41,448.79895051,360.0,310.80288051,159.73310018,159.73310019,159.73310024,159.73310018,159.73310018,159.73310019,114.7998252,114.79982523,120.0,92.399912631
42,628.31853071,299.19930036,299.19930035,109.86655006,159.73310011,159.73310011,159.73310012,159.73310012,159.73310011,77.399912554,77.399912549,120.0,109.95099166
43,628.31853072,299.19930005,299.1993001,159.73309992,159.73309997,159.73309993,159.7330999,159.73309996,159.73309996,77.399911932,77.399911939,87.684533842,92.399911788
44,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912537,90.042341522,90.042101315
45,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912542,87.684530293,92.399912541
46,628.31853071,299.19930033,344.35046825,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,109.86655005,77.399912528,77.399912534,92.399912532,92.399912533
47,628.31853072,299.19930034,299.19930034,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,159.73310011,77.399912542,77.399912542,92.399912542,87.684530289
48,538.55874062,299.19930034,309.443883,159.73310012,159.73310012,159.73310012,159.73310012,159.73310012,159.73310012,114.7998251,114.7998251,92.399912559,92.399912555
49,448.79895052,360.0,360.0,159.73310013,159.73310013,159.73310012,159.73310012,159.73310013,159.73310012,77.399912559,114.7998251,92.399912553,108.20279134
