,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,178.53981634,308.49555913,222.01161336,25.0,63.75,183.88298576,63.75,420.44245066,200.0,39.999996243,150.0,75.0,63.75,95.0,28.377580409,80.0,80.0,230.0,400.0
1,152.35987756,245.66370614,250.0,25.0,63.75,226.05682691,63.75,275.9291886,200.0,40.0,150.0,75.0,63.75,95.0,191.7403984,80.0,80.0,230.0,400.0
2,182.90313947,371.32741227,249.99999519,25.0,63.75,216.45752386,63.75,250.79644737,200.0,40.0,150.0,75.0,63.75,95.0,70.265482457,80.0,80.0,230.0,400.0
3,248.35298642,130.1816928,250.0,25.0,63.75,300.0,63.75,250.79644737,200.0,40.0,150.0,75.0,63.75,95.0,162.41886696,80.0,80.0,230.0,400.0
4,274.5329252,245.66370616,250.0,25.0,63.75,300.0,63.75,137.69911184,204.94570051,40.0,150.0,75.0,63.75,95.0,128.90854532,80.0,80.0,230.0,400.0
5,278.89624833,308.49555902,188.60471274,25.0,63.749999972,160.91576944,63.749999806,288.4955592,200.0,39.999977076,150.0,75.0,63.75,95.0,116.34217471,80.0,80.0,230.0,400.0
6,130.54326191,308.49555985,250.0,25.0,63.75,300.0,63.75,244.51326207,258.87637394,40.0,150.0,75.0,63.75,95.0,49.321531433,80.0,80.0,230.0,400.0
7,178.53981634,308.49555921,209.60037898,25.0,63.75,175.35026067,63.75,269.64600329,200.0,40.0,150.0,75.0,63.75,95.0,200.11797881,80.0,80.0,230.0,400.0
8,165.44984695,371.327413,250.0,25.0,63.75,300.0,63.75,156.54866777,274.2352708,40.0,150.0,75.0,63.75,95.0,24.188790205,80.0,80.0,230.0,400.0
9,108.72664623,434.15925388,249.99997454,24.999996129,63.749989329,265.50136017,63.74998855,100.00000179,200.00001328,39.999985133,149.99999568,74.999996017,63.749995268,94.999995677,183.362818,79.999995841,79.999996505,229.99999546,400.00000253
10,130.54326191,371.32741229,250.0,25.0,63.75,300.0,63.75,175.39822369,210.70528766,40.0,150.0,75.0,63.75,95.0,103.7758041,80.0,80.0,230.0,400.0
11,217.80972451,245.66370614,227.2863831,25.0,63.75,187.50938846,63.75,351.32741229,200.0,40.0,150.0,75.0,63.75,95.0,112.15338451,80.0,80.0,230.0,400.0
12,235.26301703,308.49555921,150.83143925,25.0,63.75,150.0,63.75,319.91148575,200.0,25.508101767,150.0,75.0,63.75,95.0,191.7403984,80.0,80.0,230.0,400.0
13,117.45329252,371.3274123,250.0,25.0,63.75,300.0,63.75,257.07963268,209.13449154,40.0,150.0,75.0,63.75,95.0,36.755160819,80.0,80.0,230.0,400.0
14,121.81661565,370.4570359,100.0,25.0,50.0,150.0,50.0,476.99111843,200.0,15.0,150.0,75.0,63.75,95.0,174.98523758,80.0,80.0,230.0,400.0
15,204.71975512,308.4955591,244.9721079,25.0,63.75,199.66879504,63.75,187.96459429,200.0,39.999999438,150.0,75.0,63.75,95.0,195.9291886,80.0,80.0,230.0,400.0
16,134.90658504,308.49555921,166.32273959,25.0,63.75,150.00000073,63.75,433.00882128,200.0,34.975006797,150.0,75.0,63.75,95.0,154.04128655,80.0,80.0,230.0,400.0
17,169.81317008,434.15926536,136.85676893,25.0,63.75,150.0,63.75,433.00882128,200.0,16.968025476,150.0,75.0,63.75,95.0,40.943951024,80.0,80.0,230.0,400.0
18,195.99310886,308.49555921,220.35677946,25.0,63.75,182.74528591,63.75,288.49555922,200.0,40.0,150.0,75.0,63.75,95.0,145.66370614,80.0,80.0,230.0,400.0
19,178.53981633,371.32741179,249.9999301,24.999999953,63.7499996,227.10410176,63.749999488,181.68140897,200.0,39.999998578,150.0,75.0,63.75,95.0,133.09733553,80.0,80.0,230.0,400.0
20,257.07963268,371.32741228,233.80227811,25.0,63.75,191.98906632,63.75,137.69911184,200.0,40.0,150.0,75.0,63.75,95.0,149.85249635,80.0,80.0,230.0,400.0
21,270.16960207,308.49555921,130.81818177,25.0,63.75,150.0,55.175984332,319.91148575,200.0,15.000000008,150.0,75.0,63.75,95.0,195.9291886,80.0,80.0,230.0,400.0
22,178.53981634,371.32741231,209.60038069,25.0,63.75,175.35026233,63.75,269.64600329,200.0,39.999998823,150.0,75.0,63.75,95.0,137.28612573,80.0,80.0,230.0,400.0
23,239.62634016,308.49555922,220.5636339,25.0,63.75,182.88749998,63.75,181.68140899,200.0,39.999996385,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
24,213.44640138,120.00000103,250.0,25.0,63.75,265.50126638,63.75,288.49555921,200.0,40.0,150.0,75.0,63.75,95.0,204.30676901,80.0,80.0,230.0,400.0
25,300.0,182.83185309,217.0558487,25.0,63.749999952,180.47589919,63.749999769,345.04422697,200.0,39.999994645,150.0,75.0,63.75,95.0,116.34217471,80.0,80.0,230.0,400.0
26,139.26990817,371.32741229,250.0,25.0,63.75,226.58042657,63.75,288.49555922,200.0,40.0,150.0,75.0,63.75,95.0,66.076692253,80.0,80.0,230.0,400.0
27,278.89624833,245.66370614,222.11503668,25.0,63.75,183.95408772,63.75,345.04422698,200.0,40.0,150.0,75.0,63.75,95.0,66.076692253,80.0,80.0,230.0,400.0
28,252.71630955,245.66370596,124.1255523,25.0,63.749994847,150.0,50.000131513,495.84067432,200.0,15.000251422,150.0,75.0,63.75,95.0,112.15338451,80.0,80.0,230.0,400.0
29,108.72664628,371.32742959,249.99999099,24.999996471,63.74999307,299.99997735,63.749992779,194.24777974,209.48362182,39.999991507,149.99999659,74.999996542,63.749996011,94.999996386,107.96459441,79.999996441,79.999996896,229.9999968,400.00001031
30,130.54326191,371.32741188,236.80166347,25.0,63.749999437,194.05115827,63.74999941,263.36281798,200.0,39.999980417,150.0,75.0,63.75,95.0,145.66370614,80.0,80.0,230.0,400.0
31,121.81661565,245.66370614,217.15054603,25.0,63.75,180.54100042,63.75,464.42474782,200.0,40.0,150.0,75.0,63.75,95.0,112.15338451,80.0,80.0,230.0,400.0
32,117.45329252,371.32741222,249.99997008,25.0,63.75,229.54751872,63.75,181.68140899,200.0,39.999999727,150.0,75.0,63.75,95.0,191.7403984,80.0,80.0,230.0,400.0
33,261.44295581,245.66370614,249.999996,25.0,63.75,215.41032258,63.75,156.54866774,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
