,0
0,24946.74259763366
1,25404.53683607312
2,24732.8294902453
3,24742.58760946498
4,24765.69532581966
5,24939.973669774005
6,24722.028228508236
7,24811.319358116758
8,25404.536836073123
9,24732.8294902453
10,25260.759030505928
11,25404.536836073123
12,24808.741003720053
13,25598.627788700494
14,24472.587724542875
15,24795.20571838367
16,24503.322126960502
17,24946.74259763366
18,24511.43051323011
19,25404.536836073123
20,24767.2010335624
21,25064.58351073839
22,24732.8294902453
23,25404.536836073123
24,24218.334373913876
25,24630.518807825865
26,24402.028831908257
27,25442.343438187792
28,24732.8294902453
29,25598.627788700494
30,25404.536836073123
31,25404.536836073123
32,24946.74259763366
33,25075.182518552578
34,24732.8294902453
35,25008.097097248534
36,24412.32031494268
37,25404.53683607312
38,24412.32031494268
39,24704.228068182896
40,24788.554372259867
41,24961.056481415468
42,25370.15427982459
43,24620.3469764729
44,25083.636400272455
45,24621.08905292151
46,25513.68644780914
47,24772.86790965449
48,25064.58351073839
49,24588.65008182942
