,final_result
0,24216.211025729826
1,24169.91769687157
2,24277.297869032955
3,24216.211025729826
4,24169.91769687157
5,24169.91769687157
6,24216.211025729826
7,24316.265560454205
8,24216.211025729826
9,24216.211025729826
10,24170.319447439866
11,24169.91769687157
12,24169.91769687157
13,24277.297869032955
14,24316.265560454205
15,24169.91769687157
16,24216.211025729826
17,24170.319447439866
18,24426.942919222372
19,24316.265560454205
20,24216.211025729826
21,24316.265560454205
22,24169.91769687157
23,24169.91769687157
24,24169.91769687157
25,24277.297869032955
26,24277.29786903296
27,24277.297869032955
28,24169.91769687157
29,24216.211025729826
30,24316.265560454205
31,24169.91769687157
32,24277.297869032955
33,24426.942919222372
34,24169.91769687157
35,24316.265560454205
36,24277.297869032955
37,24216.211025729826
38,24316.2655604542
39,24169.91769687157
40,24169.91769687157
41,24169.91769687157
42,24277.297869032955
43,24169.91769687157
44,24169.91769687157
45,24169.91769687157
46,24169.91769687157
47,24277.297869032955
48,24169.91769687157
49,24169.91769687157
