,0
0,16946.649232157695
1,16948.827660824827
2,16949.823739823434
3,16955.233159286065
4,16948.827660824827
5,16951.192354796585
6,16952.660613153985
7,16945.60230410602
8,16952.13758984036
9,16946.649232157695
10,16951.192354796585
11,16946.649232157695
12,16953.69247011814
13,16951.192354796585
14,16948.827660824827
15,16952.13758984036
16,16949.75559106243
17,16946.649232157695
18,16993.533855921632
19,16946.649232157695
20,16946.649232157695
21,16949.75559106243
22,16952.13758984036
23,16952.13758984036
24,16953.69247011814
25,16946.649232157695
26,16948.827660824827
27,16956.5790194513
28,16948.827660824827
29,16948.827660824827
30,16957.324086033765
31,16948.827660824827
32,16962.15194955547
33,16957.324086033765
34,16948.827660824827
35,16946.649232157695
36,16946.649232157695
37,16949.75559106243
38,16953.69247011814
39,16963.661263284626
40,16949.823739823434
41,16946.649232157695
42,16948.827660824827
43,16947.982069242767
44,16948.827660824827
45,16993.1451833328
46,16948.827660824827
47,16946.649232157695
48,16993.714096068572
49,16945.686876633583
