,0
0,8436.9119703
1,8436.9119703
2,8436.9119703
3,8436.9119703
4,8436.9119703
5,8436.9119703
6,8730.0094572
7,8496.7618815
8,8436.9119703
9,8436.9119703
10,8553.7138506
11,8436.9119703
12,8572.9805646
13,8436.9119703
14,8496.7618815
15,8735.9834488
16,8436.9119703
17,8496.7618815
18,8436.9119703
19,8719.6811092
20,8436.9119703
21,8436.9119703
22,8436.9119703
23,8436.9119703
24,8771.9849585
25,8436.9119703
26,8553.7138506
27,8721.0836905
28,8436.9119703
29,8553.7138506
30,8436.9119703
31,8436.9119703
32,8436.9119703
33,8496.7618815
34,8436.9119703
35,8436.9119703
36,8436.9119703
37,8755.6145528
38,8436.9119703
39,8436.9119703
40,8436.9119703
41,8711.2021957
42,8755.6529755
43,8436.9119703
44,8436.9119703
45,8436.9119703
46,8436.9119703
47,8436.9119703
48,8793.0622948
49,8436.9119703
