,0
0,7.294970273971558
1,7.190734624862671
2,7.269510746002197
3,7.378267526626587
4,7.335012435913086
5,7.062211513519287
6,7.185771703720093
7,7.23250412940979
8,7.066417694091797
9,7.077096700668335
10,7.421968936920166
11,7.327651500701904
12,7.321891784667969
13,7.269116163253784
14,7.398855209350586
15,7.443745851516724
16,7.11934494972229
17,7.429038763046265
18,7.172454118728638
19,7.2427191734313965
20,7.1998114585876465
21,7.396934747695923
22,7.213772296905518
23,8.396817684173584
24,7.209352731704712
25,7.402132511138916
26,7.396640300750732
27,7.614159822463989
28,7.230527400970459
29,7.690044403076172
30,7.225058555603027
31,7.1003594398498535
32,7.319167613983154
33,7.561127424240112
34,7.432280778884888
35,7.235791921615601
36,7.119059801101685
37,7.157168865203857
38,7.293107509613037
39,7.125468492507935
40,7.2464540004730225
41,7.655998706817627
42,7.421652317047119
43,7.183944463729858
44,7.3922858238220215
45,7.228717803955078
46,7.154378652572632
47,7.207768678665161
48,7.249339818954468
49,7.208085775375366
