,0,1,2
0,1.03,0.9,0.99
1,1.03,0.9,0.99
2,1.03,0.9,0.99
3,1.03,0.9,0.99
4,1.03,0.9,0.99
5,1.03,0.9,0.99
6,1.01,0.9,0.99
7,1.03,0.9,1.0
8,1.03,0.9,0.99
9,1.03,0.9,0.99
10,1.04,0.9,1.0
11,1.03,0.9,0.99
12,1.02,0.9,0.99
13,1.03,0.9,0.99
14,1.03,0.9,1.0
15,1.04,0.9,1.0
16,1.03,0.9,0.99
17,1.03,0.9,1.0
18,1.03,0.9,0.99
19,1.02,0.9,1.0
20,1.03,0.9,0.99
21,1.03,0.9,0.99
22,1.03,0.9,0.99
23,1.03,0.9,0.99
24,1.0,0.9,0.99
25,1.03,0.9,0.99
26,1.04,0.9,1.0
27,1.03,0.9,0.99
28,1.03,0.9,0.99
29,1.04,0.9,1.0
30,1.03,0.9,0.99
31,1.03,0.9,0.99
32,1.03,0.9,0.99
33,1.03,0.9,1.0
34,1.03,0.9,0.99
35,1.03,0.9,0.99
36,1.03,0.9,0.99
37,1.0,0.9,0.99
38,1.03,0.9,0.99
39,1.03,0.9,0.99
40,1.03,0.9,0.99
41,1.03,0.9,1.0
42,1.03,0.9,1.0
43,1.03,0.9,0.99
44,1.03,0.9,0.99
45,1.03,0.9,0.99
46,1.03,0.9,0.99
47,1.03,0.9,0.99
48,1.03,0.9,1.0
49,1.03,0.9,0.99
