,0,1,2,3
0,1.0,0.92,1.0,0.95
1,1.01,0.91,1.0,0.96
2,0.96,1.01,1.0,0.94
3,1.01,0.92,1.0,0.96
4,1.02,1.0,1.02,0.98
5,1.02,0.9,1.0,0.94
6,1.03,0.9,1.0,0.96
7,0.97,1.02,1.0,0.97
8,1.03,0.9,1.0,0.96
9,0.97,0.94,0.97,0.94
10,0.97,1.02,0.99,0.96
11,0.99,0.95,1.0,0.96
12,1.0,0.97,1.0,0.96
13,0.95,1.05,1.0,0.94
14,0.99,1.0,0.98,0.96
15,0.97,0.98,1.0,0.96
16,0.99,0.97,0.99,0.96
17,0.97,1.01,1.01,0.96
18,1.02,0.9,0.97,0.95
19,0.96,1.01,1.0,0.94
20,1.0,0.94,0.94,0.94
21,1.04,0.9,1.06,0.94
22,1.01,0.91,0.95,0.95
23,0.95,1.05,0.98,0.96
24,1.03,0.9,1.0,0.96
25,0.99,0.96,1.0,0.96
26,0.98,1.05,0.94,0.96
27,1.03,0.9,1.0,0.96
28,1.02,0.9,1.0,0.94
29,1.01,0.91,1.0,0.96
30,0.95,1.04,0.98,0.94
31,0.94,1.06,1.0,0.94
32,1.01,0.91,1.0,0.96
33,1.03,0.9,1.0,0.95
34,1.04,0.9,1.0,0.96
35,1.01,0.98,1.01,0.97
36,0.97,1.0,1.0,0.96
37,0.99,0.97,1.0,0.96
38,1.01,0.99,1.01,0.97
39,1.03,0.94,1.01,0.97
40,0.99,0.99,1.01,0.97
41,0.98,0.97,1.0,0.96
42,1.02,0.9,1.0,0.96
43,1.03,0.9,0.99,0.96
44,1.06,0.9,1.0,0.96
45,1.03,0.9,0.98,0.96
46,1.01,0.94,0.99,0.96
47,1.03,0.9,1.0,0.96
48,1.03,0.9,1.0,0.95
49,1.01,0.93,1.0,0.96
