,0
0,8522.2581468
1,8556.711062
2,8571.3660371
3,8502.5461847
4,8502.5233761
5,8553.7299797
6,8556.7110671
7,8502.5233775
8,8502.5461846
9,8502.5461847
10,8538.239974
11,8544.0931992
12,8713.5388371
13,8553.7299797
14,8502.5461846
15,8530.8885031
16,8436.9921192
17,8502.5461847
18,8687.3050279
19,8502.4898762
20,8436.9119703
21,8544.1595095
22,8667.401296
23,8556.7110671
24,8556.7110671
25,8502.6733066
26,8556.7110671
27,8667.6371579
28,8530.8885031
29,8530.8885031
30,8538.239974
31,8583.4315824
32,8553.7299797
33,9110.1480145
34,8538.3363176
35,8544.0931992
36,8741.1813268
37,8436.9119703
38,9008.1302931
39,8530.8885031
40,8713.5401027
41,8556.7110671
42,8502.5461847
43,8502.4898762
44,8713.6353629
45,8667.6370434
46,8686.7546248
47,9077.6865175
48,8553.7299797
