,0,1,2
0,1.04,0.9,1.0
1,1.01,0.9,0.99
2,1.02,0.9,1.0
3,1.04,0.9,1.0
4,1.03,0.9,0.99
5,1.03,0.9,1.0
6,1.01,0.9,0.99
7,1.03,0.9,0.99
8,1.04,0.9,1.0
9,1.04,0.9,1.0
10,1.04,0.9,1.0
11,1.03,0.9,1.0
12,1.03,0.9,1.0
13,1.03,0.9,1.0
14,1.04,0.9,1.0
15,1.03,0.9,1.0
16,1.02,0.9,0.99
17,1.04,0.9,1.0
18,1.01,0.9,0.99
19,1.03,0.9,1.0
20,1.03,0.9,0.99
21,1.02,0.9,1.0
22,1.02,0.9,0.99
23,1.01,0.9,0.99
24,1.01,0.9,0.99
25,1.01,0.9,0.99
26,1.01,0.9,0.99
27,1.03,0.9,1.0
28,1.03,0.9,1.0
29,1.03,0.9,1.0
30,1.04,0.9,1.0
31,1.03,0.9,1.0
32,1.03,0.9,1.0
33,1.02,0.9,1.01
34,1.02,0.9,0.99
35,1.03,0.9,1.0
36,1.03,0.9,1.0
37,1.03,0.9,0.99
38,1.03,0.9,1.01
39,1.03,0.9,1.0
40,1.03,0.9,1.0
41,1.01,0.9,0.99
42,1.04,0.9,1.0
43,1.03,0.9,1.0
44,1.01,0.9,0.99
45,1.03,0.9,1.0
46,1.03,0.9,1.0
47,1.01,0.9,0.99
48,1.03,0.9,1.0
