,0,1,2,3
0,1.03,0.9,1.0,0.96
1,1.03,0.9,1.0,0.96
2,1.03,0.9,1.0,0.96
3,1.03,0.9,1.0,0.96
4,1.03,0.9,1.0,0.96
5,1.03,0.9,1.0,0.96
6,1.03,0.9,1.01,0.97
7,1.03,0.9,1.0,0.96
8,1.03,0.9,1.0,0.96
9,1.03,0.9,1.0,0.95
10,1.03,0.9,1.0,0.96
11,1.03,0.9,1.0,0.96
12,1.03,0.9,1.0,0.96
13,1.04,0.9,0.99,0.96
14,1.03,0.9,1.01,0.96
15,1.03,0.9,1.0,0.96
16,1.03,0.9,1.01,0.96
17,1.03,0.9,1.01,0.96
18,1.03,0.9,1.0,0.96
19,1.03,0.9,0.99,0.95
20,1.03,0.9,1.0,0.96
21,1.03,0.9,0.99,0.95
22,1.03,0.9,1.0,0.96
23,1.03,0.9,1.0,0.96
24,1.04,0.9,0.99,0.95
25,1.03,0.9,0.99,0.95
26,1.01,0.9,1.02,1.0
27,1.04,0.9,0.99,0.96
28,1.03,0.9,1.0,0.96
29,1.03,0.9,0.99,0.95
30,1.03,0.9,1.0,0.95
31,1.04,0.9,1.0,0.96
32,1.04,0.9,1.0,0.97
33,1.03,0.9,1.0,0.95
34,1.04,0.9,1.0,0.97
35,1.03,0.9,1.0,0.96
36,1.03,0.9,1.01,0.97
37,1.03,0.9,1.0,0.96
38,1.04,0.9,0.99,0.97
39,1.03,0.9,1.0,0.96
40,0.98,0.9,0.9,0.93
41,1.03,0.9,1.0,0.96
42,1.03,0.9,1.0,0.97
43,1.05,0.9,1.01,0.97
44,1.06,0.9,1.0,0.97
