,0
0,98.0
1,90.0
2,90.0
3,90.0
4,90.0
5,90.0
6,99.0
7,98.0
8,90.0
9,90.0
10,97.0
11,105.0
12,92.0
13,100.0
14,90.0
15,90.0
16,90.0
17,98.0
18,90.0
19,90.0
20,109.0
21,90.0
22,90.0
23,90.0
24,90.0
25,110.0
26,90.0
27,90.0
28,91.0
29,91.0
30,104.0
31,95.0
32,99.0
33,95.0
34,99.0
35,100.0
36,98.0
37,90.0
38,98.0
39,97.0
40,105.0
41,97.0
42,99.0
43,100.0
44,95.0
45,105.0
46,101.0
47,95.0
48,103.0
49,102.0
50,100.0
51,92.0
52,90.0
53,91.0
54,100.0
55,100.0
56,100.0
57,97.0
58,99.0
59,94.0
60,93.0
61,98.0
62,93.0
63,96.0
64,96.0
65,95.0
66,110.0
67,99.0
68,96.0
69,102.0
70,100.0
71,100.0
72,100.0
73,94.0
74,101.0
75,103.0
76,102.0
77,97.0
78,101.0
79,98.0
80,101.0
81,99.0
82,95.0
83,96.0
84,97.0
85,95.0
86,99.0
87,90.0
88,90.0
89,90.0
90,90.0
91,90.0
92,90.0
93,90.0
94,90.0
95,90.0
96,90.0
97,90.0
98,103.0
99,90.0
100,90.0
101,90.0
102,90.0
103,90.0
104,90.0
105,90.0
106,90.0
