,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,286.0,36.0,18.0,-96.0,-135.0,41.0,55.0,-100.0,-259.0,-146.0,-61.0,45.0,0.0,4.0
1,251.0,39.0,26.0,-143.0,-220.0,46.0,44.0,-30.0,-259.0,-176.0,-90.0,44.0,0.0,5.0
2,357.0,35.0,14.0,-125.0,-169.0,36.0,52.0,-165.0,-162.0,-178.0,-98.0,44.0,0.0,4.0
3,355.0,29.0,23.0,-159.0,-177.0,49.0,51.0,-148.0,-229.0,-125.0,-80.0,32.0,0.0,2.0
4,381.0,36.0,11.0,-215.0,-124.0,42.0,49.0,-150.0,-194.0,-147.0,-100.0,32.0,0.0,6.0
5,363.0,33.0,25.0,-97.0,-177.0,48.0,47.0,-95.0,-222.0,-148.0,-98.0,30.0,0.0,3.0
6,309.0,50.0,23.0,-179.0,-121.0,57.0,53.0,-123.0,-227.0,-154.0,-94.0,29.0,0.0,5.0
7,402.0,37.0,17.0,-143.0,-113.0,46.0,48.0,-130.0,-202.0,-296.0,-86.0,44.0,0.0,4.0
8,293.0,39.0,23.0,-112.0,-130.0,53.0,55.0,-182.0,-299.0,-113.0,-115.0,37.0,0.0,1.0
9,279.0,26.0,13.0,-136.0,-117.0,48.0,53.0,-178.0,-301.0,-135.0,-43.0,37.0,0.0,5.0
10,351.0,28.0,23.0,-167.0,-231.0,41.0,50.0,-140.0,-254.0,-169.0,-51.0,41.0,0.0,5.0
11,431.0,28.0,14.0,-160.0,-197.0,47.0,47.0,-104.0,-304.0,-145.0,-76.0,31.0,0.0,5.0
12,358.0,30.0,25.0,-122.0,-158.0,35.0,57.0,-128.0,-107.0,-225.0,-88.0,46.0,0.0,2.0
13,296.0,36.0,29.0,-112.0,-109.0,47.0,33.0,-113.0,-150.0,-266.0,-81.0,42.0,0.0,6.0
14,327.0,43.0,25.0,-189.0,-36.0,48.0,54.0,-123.0,-314.0,-172.0,-84.0,43.0,0.0,2.0
15,278.0,40.0,17.0,-133.0,-218.0,53.0,45.0,-167.0,-349.0,-202.0,-97.0,38.0,0.0,3.0
16,252.0,30.0,18.0,-154.0,-175.0,51.0,55.0,-107.0,-352.0,-331.0,-47.0,34.0,0.0,6.0
17,356.0,35.0,12.0,-107.0,-24.0,39.0,55.0,-158.0,-275.0,-103.0,-72.0,30.0,0.0,3.0
18,295.0,33.0,12.0,-167.0,-42.0,50.0,42.0,-97.0,-188.0,-143.0,-110.0,41.0,0.0,3.0
19,321.0,40.0,12.0,-211.0,-208.0,50.0,38.0,-117.0,-236.0,-130.0,-58.0,36.0,0.0,3.0
20,448.0,2.0,12.0,-124.0,-208.0,35.0,59.0,-102.0,-288.0,-48.0,-135.0,47.0,0.0,5.0
21,335.0,34.0,19.0,-74.0,-231.0,55.0,39.0,-93.0,-252.0,-158.0,-105.0,25.0,0.0,4.0
22,384.0,51.0,17.0,-95.0,-149.0,54.0,43.0,-153.0,-388.0,-175.0,-47.0,30.0,0.0,3.0
23,314.0,48.0,8.0,-150.0,-153.0,33.0,34.0,-178.0,-357.0,-241.0,-112.0,38.0,0.0,2.0
24,349.0,36.0,21.0,-171.0,-127.0,52.0,55.0,-189.0,-252.0,-236.0,-76.0,42.0,0.0,3.0
