,0
0,1.027992872
1,1.0359830197
2,1.0352929892
3,1.0590496927
4,1.06
5,1.0516396453
6,1.0499181439
7,1.0430891495
8,1.06
9,1.0542186827
10,1.0453893035
11,1.0487313809
12,1.0336490621
13,1.0475397818
14,1.0473230604
15,1.0453019807
16,1.06
17,1.049620266
18,1.0459224697
19,1.0346612466
20,1.0302388286
21,1.034373808
22,1.0511658243
23,1.0520245596
24,1.06
25,1.06
26,1.0453330797
27,1.0382763451
28,1.0381670539
29,1.0539077448
30,1.0410323715
31,1.0438750593
32,1.0454853347
33,1.0570143707
34,1.0547125621
35,1.0551433204
36,1.06
37,1.0532044546
38,1.0377151862
39,1.0358245893
40,1.0297075902
41,1.0375998977
42,1.0428558511
43,1.0366706037
44,1.0328873437
45,1.0468709284
46,1.0531963186
47,1.0545008559
48,1.0599998864
49,1.0486971883
50,1.0308141224
51,1.0251164497
52,1.0245536584
53,1.0392134378
54,1.0381708143
55,1.0382091449
56,1.0398614366
57,1.0319080816
58,1.06
59,1.0577457645
60,1.06
61,1.0559414343
62,1.0501751109
63,1.0576706257
64,1.06
65,1.06
66,1.0521763113
67,1.0579493759
68,1.06
69,1.0379658424
70,1.0387179475
71,1.0420680994
72,1.0375241242
73,1.0204176794
74,1.0214823818
75,1.004709185
76,1.046136289
77,1.0415812006
78,1.0430534691
79,1.06
80,1.06
81,1.0397539132
82,1.0440793072
83,1.0455426227
84,1.0530772403
85,1.047099001
86,1.06
87,1.0486025458
88,1.06
89,1.0434299579
90,1.0479925179
91,1.0492440487
92,1.0391798954
93,1.0379477552
94,1.0270297033
95,1.0360131995
96,1.043537196
97,1.0525238395
98,1.0551508089
99,1.06
100,1.04258496
101,1.045943885
102,1.0517361708
103,1.0417972706
104,1.0393938719
105,1.0316305808
106,1.0263500007
107,1.0362880928
108,1.0352334402
109,1.0358222359
110,1.0437378256
111,1.0202386932
112,1.0566475279
113,1.0399767889
114,1.0396898299
115,1.0595287812
116,1.0338222915
117,1.0075468429
