,0
0,1.02780487
1,1.035733086
2,1.0351335288
3,1.0588786301
4,1.06
5,1.0514263596
6,1.0496773614
7,1.0424549741
8,1.06
9,1.0548746229
10,1.0451623759
11,1.0484461383
12,1.033340122
13,1.047179371
14,1.0467599307
15,1.045105073
16,1.06
17,1.0488799812
18,1.0453456273
19,1.0341943147
20,1.029854534
21,1.0340875899
22,1.0510412416
23,1.0519671314
24,1.06
25,1.06
26,1.0450261384
27,1.0379039173
28,1.0377263071
29,1.052218042
30,1.0405695169
31,1.0435230121
32,1.0451816865
33,1.0569637813
34,1.0546973046
35,1.0551249438
36,1.06
37,1.0524540231
38,1.0377097315
39,1.0358155749
40,1.0297007433
41,1.0375995647
42,1.0426342658
43,1.0362109733
44,1.0326758616
45,1.0468874087
46,1.0532023523
47,1.0546379568
48,1.06
49,1.0486988334
50,1.0308156888
51,1.0251170055
52,1.0245509568
53,1.0392082868
54,1.0381929522
55,1.0382141889
56,1.0398652544
57,1.0319111738
58,1.06
59,1.0577697343
60,1.06
61,1.0560740949
62,1.0499881583
63,1.0575904004
64,1.06
65,1.06
66,1.0522380336
67,1.0568272362
68,1.06
69,1.0374721476
70,1.0385049867
71,1.042051262
72,1.0376213996
73,1.0156668999
74,1.0188218025
75,1.0026819421
76,1.0451753925
77,1.0407251802
78,1.042411917
79,1.06
80,1.0562217119
81,1.0360909526
82,1.0379894795
83,1.0417257604
84,1.0503739312
85,1.0453745833
86,1.06
87,1.0474958129
88,1.06
89,1.0434324522
90,1.0479880192
91,1.0490575535
92,1.0386824773
93,1.0371871914
94,1.0258532812
95,1.0343385816
96,1.0426748812
97,1.0525241194
98,1.0551486693
99,1.06
100,1.0424983098
101,1.045788266
102,1.0517897737
103,1.0417764564
104,1.0393522373
105,1.0315994372
106,1.0263333538
107,1.0357103644
108,1.034435465
109,1.0344432954
110,1.0437458042
111,1.0198445508
112,1.0559690656
113,1.0396417837
114,1.0393579145
115,1.0599266617
116,1.0335312324
117,1.0051664052
