,0
0,1.040319993
1,1.0405124312
2,1.0426859448
3,1.058516454
4,1.06
5,1.0512256018
6,1.0495505061
7,1.0419593485
8,1.06
9,1.0553872756
10,1.0451004166
11,1.048441552
12,1.0333139696
13,1.0472016076
14,1.0468584949
15,1.0451025579
16,1.06
17,1.0489195019
18,1.0460861014
19,1.0347055106
20,1.0301949562
21,1.0342277402
22,1.0508500495
23,1.0515496619
24,1.06
25,1.06
26,1.0447895334
27,1.0376978654
28,1.0375561912
29,1.0520584917
30,1.0404138369
31,1.0433198519
32,1.0452347282
33,1.0569746776
34,1.0547016683
35,1.0551301976
36,1.06
37,1.0524031803
38,1.0376933996
39,1.0357915994
40,1.0296721976
41,1.0375581286
42,1.0431747025
43,1.0374935772
44,1.0332669957
45,1.046842133
46,1.0531898614
47,1.054628477
48,1.06
49,1.0487602053
50,1.0309072958
51,1.0251916008
52,1.0245754032
53,1.039194583
54,1.0382113233
55,1.0384644397
56,1.040036781
57,1.0320708894
58,1.06
59,1.0577674791
60,1.06
61,1.0560613346
62,1.0499858861
63,1.0575881954
64,1.06
65,1.06
66,1.0522337939
67,1.0565748169
68,1.06
69,1.0375186514
70,1.038282282
71,1.0416025886
72,1.0371120754
73,1.0274098924
74,1.0283707232
75,1.0251756505
76,1.0473354325
77,1.0426502751
78,1.0438531501
79,1.06
80,1.06
81,1.0406416171
82,1.0441646264
83,1.0502959566
84,1.06
85,1.0512493143
86,1.0592967926
87,1.0514561511
88,1.06
89,1.0437564705
90,1.0487705423
91,1.06
92,1.0461291898
93,1.0414520538
94,1.0298220335
95,1.0378371753
96,1.0444772235
97,1.0525239242
98,1.0551479488
99,1.06
100,1.0473632061
101,1.0547625845
102,1.0517666321
103,1.0432782214
104,1.0394198364
105,1.0316506934
106,1.0263588862
107,1.0363098474
108,1.0352535473
109,1.0358380275
110,1.0437764196
111,1.0202743543
112,1.0560236762
113,1.0394233797
114,1.0391370568
115,1.058771278
116,1.0335265526
117,1.0208778338
